Small Cup : 100 // 50
Large Cup : 105 // 60
Starting out with Budget =  100
 N = 389, Offered_price = 102.11, result=0, Small=-80, 
 N = 390, Offered_price = 100.26, result=1, Small=-80, 
 N = 391, Offered_price = 104.47, result=1, Small=-80, 
 N = 392, Offered_price = 100.79, result=1, Small=-80, 
 N = 393, Offered_price = 105.00, result=0, Small=-81, 
 N = 394, Offered_price = 100.26, result=1, Small=-81, 
 N = 395, Offered_price = 103.16, result=1, Small=-81, 
 N = 396, Offered_price = 101.05, result=0, Small=-82, 
 N = 397, Offered_price = 103.95, result=1, Small=-82, 
 N = 398, Offered_price = 102.37, result=1, Small=-82, 
 N = 399, Offered_price = 100.26, result=1, Small=-82, 
 N = 400, Offered_price = 100.79, result=0, Small=-83, 
 N = 401, Offered_price = 102.63, result=0, Small=-84, 
 N = 402, Offered_price = 100.26, result=1, Small=-84, 
 N = 403, Offered_price = 104.74, result=0, Small=-85, 
 N = 404, Offered_price = 101.84, result=0, Small=-86, 
 N = 405, Offered_price = 102.89, result=0, Small=-87, 
 N = 406, Offered_price = 103.68, result=0, Small=-88, 
 N = 407, Offered_price = 100.26, result=1, Small=-88, 
 N = 408, Offered_price = 103.95, result=0, Small=-89, 
 N = 409, Offered_price = 104.47, result=1, Small=-89, 
 N = 410, Offered_price = 103.16, result=1, Small=-89, 
 N = 411, Offered_price = 100.26, result=1, Small=-89, 
 N = 412, Offered_price = 102.37, result=0, Small=-90, 
 N = 413, Offered_price = 103.42, result=0, Small=-91, 
 N = 414, Offered_price = 100.26, result=1, Small=-91, 
 N = 415, Offered_price = 100.26, result=1, Small=-91, 
 N = 416, Offered_price = 103.16, result=1, Small=-91, 
 N = 417, Offered_price = 101.58, result=0, Small=-92, 
 N = 418, Offered_price = 100.26, result=1, Small=-92, 
 N = 419, Offered_price = 104.47, result=0, Small=-93, 
 N = 420, Offered_price = 104.21, result=1, Small=-93, 
 N = 421, Offered_price = 100.26, result=1, Small=-93, 
 N = 422, Offered_price = 100.26, result=1, Small=-93, 
 N = 423, Offered_price = 100.26, result=1, Small=-93, 
 N = 424, Offered_price = 105.00, result=0, Small=-94, 
 N = 425, Offered_price = 100.00, result=1, Small=-94, 
 N = 426, Offered_price = 103.16, result=1, Small=-94, 
 N = 427, Offered_price = 100.26, result=1, Small=-94, 
 N = 428, Offered_price = 104.21, result=0, Small=-95, 
 N = 429, Offered_price = 101.32, result=1, Small=-95, 
 N = 430, Offered_price = 100.26, result=1, Small=-95, 
 N = 431, Offered_price = 100.26, result=1, Small=-95, 
 N = 432, Offered_price = 102.11, result=0, Small=-96, 
 N = 433, Offered_price = 100.26, result=1, Small=-96, 
 N = 434, Offered_price = 100.26, result=1, Small=-96, 
 N = 435, Offered_price = 100.26, result=0, Small=-97, 
 N = 436, Offered_price = 101.32, result=0, Small=-98, 
 N = 437, Offered_price = 103.16, result=0, Small=-99, 
 N = 438, Offered_price = 101.05, result=1, Small=-99, 
 N = 439, Offered_price = 102.63, result=1, Small=-99, 
 N = 440, Offered_price = 104.74, result=0, Small=-100, 
BOOST BY 100 SMALL CUPS
Total Earnings =  19946.842105263157
Avg Large Price =  101.44517543859644
