 N = 172, Offered_price = 121.05, result=0, Small=42, Regret=147.74, Budget=1
 N = 173, Offered_price = 131.58, result=1, Small=42, Regret=148.42, Budget=1
 N = 174, Offered_price = 131.58, result=1, Small=42, Regret=149.11, Budget=1
 N = 175, Offered_price = 131.58, result=1, Small=42, Regret=149.79, Budget=1
 N = 176, Offered_price = 131.58, result=0, Small=41, Regret=150.79, Budget=1
 N = 177, Offered_price = 147.37, result=0, Small=40, Regret=151.79, Budget=1
 N = 178, Offered_price = 136.84, result=1, Small=40, Regret=152.42, Budget=1
 N = 179, Offered_price = 136.84, result=0, Small=39, Regret=153.42, Budget=1
 N = 180, Offered_price = 142.11, result=1, Small=39, Regret=154.00, Budget=1
 N = 181, Offered_price = 142.11, result=1, Small=39, Regret=154.58, Budget=1
 N = 182, Offered_price = 142.11, result=1, Small=39, Regret=155.16, Budget=1
 N = 183, Offered_price = 142.11, result=0, Small=38, Regret=156.16, Budget=1
 N = 184, Offered_price = 152.63, result=1, Small=38, Regret=156.63, Budget=1
 N = 185, Offered_price = 152.63, result=0, Small=37, Regret=157.63, Budget=1
 N = 186, Offered_price = 157.89, result=1, Small=37, Regret=158.05, Budget=1
 N = 187, Offered_price = 157.89, result=0, Small=36, Regret=159.05, Budget=1
 N = 188, Offered_price = 168.42, result=0, Small=35, Regret=160.05, Budget=1
 N = 189, Offered_price = 173.68, result=0, Small=34, Regret=161.05, Budget=1
 N = 190, Offered_price = 189.47, result=0, Small=33, Regret=162.05, Budget=1
 N = 191, Offered_price = 194.74, result=0, Small=32, Regret=163.05, Budget=1
 N = 192, Offered_price = 200.00, result=0, Small=31, Regret=164.05, Budget=1
 N = 193, Offered_price = 126.32, result=0, Small=30, Regret=165.05, Budget=1
 N = 194, Offered_price = 115.79, result=1, Small=30, Regret=165.89, Budget=1
 N = 195, Offered_price = 115.79, result=1, Small=30, Regret=166.74, Budget=1
 N = 196, Offered_price = 115.79, result=1, Small=30, Regret=167.58, Budget=1
 N = 197, Offered_price = 115.79, result=1, Small=30, Regret=168.42, Budget=1
 N = 198, Offered_price = 115.79, result=1, Small=30, Regret=169.26, Budget=1
 N = 199, Offered_price = 115.79, result=0, Small=29, Regret=170.26, Budget=1
Total Earnings =  73.68421052631675
Avg Large Price =  123.0518155854753
