 N = 183, Offered_price = 136.84, result=0, Small=14, Regret=156.84
 N = 184, Offered_price = 147.37, result=1, Small=14, Regret=157.37
 N = 185, Offered_price = 152.63, result=0, Small=13, Regret=158.37
 N = 186, Offered_price = 163.16, result=1, Small=13, Regret=158.74
 N = 187, Offered_price = 173.68, result=0, Small=12, Regret=159.74
 N = 188, Offered_price = 184.21, result=0, Small=11, Regret=160.74
 N = 189, Offered_price = 100.00, result=1, Small=11, Regret=161.74
 N = 190, Offered_price = 110.53, result=0, Small=10, Regret=162.74
 N = 191, Offered_price = 194.74, result=0, Small=9, Regret=163.74
 N = 192, Offered_price = 200.00, result=0, Small=8, Regret=164.74
 N = 193, Offered_price = 105.26, result=1, Small=8, Regret=165.68
 N = 194, Offered_price = 115.79, result=1, Small=8, Regret=166.53
 N = 195, Offered_price = 121.05, result=0, Small=7, Regret=167.53
 N = 196, Offered_price = 178.95, result=0, Small=6, Regret=168.53
 N = 197, Offered_price = 189.47, result=0, Small=5, Regret=169.53
 N = 198, Offered_price = 100.00, result=1, Small=5, Regret=170.53
 N = 199, Offered_price = 194.74, result=0, Small=4, Regret=171.53
Total Earnings =  22847.368421052623
Avg Large Price =  127.37854251012138
