 N = 158, Offered_price = 100.00, result=1, Small=0, Regret=141.84, Budget=0
 N = 159, Offered_price = 100.00, result=1, Small=0, Regret=142.84, Budget=0
 N = 160, Offered_price = 100.00, result=1, Small=0, Regret=143.84, Budget=0
 N = 161, Offered_price = 100.00, result=1, Small=0, Regret=144.84, Budget=0
 N = 162, Offered_price = 100.00, result=1, Small=0, Regret=145.84, Budget=0
 N = 163, Offered_price = 100.00, result=1, Small=0, Regret=146.84, Budget=0
 N = 164, Offered_price = 100.00, result=1, Small=0, Regret=147.84, Budget=0
 N = 165, Offered_price = 100.00, result=1, Small=0, Regret=148.84, Budget=0
 N = 166, Offered_price = 100.00, result=1, Small=0, Regret=149.84, Budget=0
 N = 167, Offered_price = 100.00, result=1, Small=0, Regret=150.84, Budget=0
 N = 168, Offered_price = 100.00, result=1, Small=0, Regret=151.84, Budget=0
 N = 169, Offered_price = 100.00, result=1, Small=0, Regret=152.84, Budget=0
 N = 170, Offered_price = 100.00, result=1, Small=0, Regret=153.84, Budget=0
 N = 171, Offered_price = 100.00, result=1, Small=0, Regret=154.84, Budget=0
 N = 172, Offered_price = 100.00, result=1, Small=0, Regret=155.84, Budget=0
 N = 173, Offered_price = 100.00, result=1, Small=0, Regret=156.84, Budget=0
 N = 174, Offered_price = 100.00, result=1, Small=0, Regret=157.84, Budget=0
 N = 175, Offered_price = 100.00, result=1, Small=0, Regret=158.84, Budget=0
 N = 176, Offered_price = 100.00, result=1, Small=0, Regret=159.84, Budget=0
 N = 177, Offered_price = 100.00, result=1, Small=0, Regret=160.84, Budget=0
 N = 178, Offered_price = 100.00, result=1, Small=0, Regret=161.84, Budget=0
 N = 179, Offered_price = 100.00, result=1, Small=0, Regret=162.84, Budget=0
 N = 180, Offered_price = 100.00, result=1, Small=0, Regret=163.84, Budget=0
 N = 181, Offered_price = 100.00, result=1, Small=0, Regret=164.84, Budget=0
 N = 182, Offered_price = 100.00, result=1, Small=0, Regret=165.84, Budget=0
 N = 183, Offered_price = 100.00, result=1, Small=0, Regret=166.84, Budget=0
 N = 184, Offered_price = 100.00, result=1, Small=0, Regret=167.84, Budget=0
 N = 185, Offered_price = 100.00, result=1, Small=0, Regret=168.84, Budget=0
 N = 186, Offered_price = 100.00, result=1, Small=0, Regret=169.84, Budget=0
 N = 187, Offered_price = 100.00, result=1, Small=0, Regret=170.84, Budget=0
 N = 188, Offered_price = 100.00, result=1, Small=0, Regret=171.84, Budget=0
 N = 189, Offered_price = 100.00, result=1, Small=0, Regret=172.84, Budget=0
 N = 190, Offered_price = 100.00, result=1, Small=0, Regret=173.84, Budget=0
 N = 191, Offered_price = 100.00, result=1, Small=0, Regret=174.84, Budget=0
 N = 192, Offered_price = 100.00, result=1, Small=0, Regret=175.84, Budget=0
 N = 193, Offered_price = 100.00, result=1, Small=0, Regret=176.84, Budget=0
 N = 194, Offered_price = 100.00, result=1, Small=0, Regret=177.84, Budget=0
 N = 195, Offered_price = 100.00, result=1, Small=0, Regret=178.84, Budget=0
 N = 196, Offered_price = 100.00, result=1, Small=0, Regret=179.84, Budget=0
 N = 197, Offered_price = 100.00, result=1, Small=0, Regret=180.84, Budget=0
 N = 198, Offered_price = 100.00, result=1, Small=0, Regret=181.84, Budget=0
 N = 199, Offered_price = 100.00, result=1, Small=0, Regret=182.84, Budget=0
Total Earnings =  -2284.2105263157882
Avg Large Price =  117.15789473684214
